date,Ibex 35,ibex 35 down,credito,recesión,Ibex 35%,ibex 35 down%,credito%,recesión%
2015-04-19,8,0,38,10,-33.33,0.0,-20.83,-83.33
2015-04-20,57,0,66,25,612.42,0.0,73.68,149.99
2015-04-21,54,0,63,34,-5.26,0.0,-4.55,36.0
2015-04-22,53,0,68,66,-1.85,0.0,7.94,94.11
2015-04-23,50,0,68,34,-5.66,0.0,0.0,-48.48
2015-04-24,53,0,65,9,6.0,0.0,-4.41,-73.53
2015-04-25,10,0,49,20,-81.13,0.0,-24.62,122.21
2015-04-26,7,0,41,30,-30.0,0.0,-16.33,50.0
2015-04-27,65,0,68,66,828.45,0.0,65.85,120.0
2015-04-28,53,0,68,16,-18.46,0.0,0.0,-75.76
2015-04-29,53,0,70,42,0.0,0.0,2.94,162.49
2015-04-30,56,0,66,34,5.66,0.0,-5.71,-19.05
2015-05-01,12,0,43,38,-78.57,0.0,-34.85,11.76
2015-05-02,9,0,42,40,-25.0,0.0,-2.33,5.26
2015-05-03,6,0,36,39,-33.33,0.0,-14.29,-2.5
2015-05-04,53,0,68,25,783.2,0.0,88.89,-35.9
2015-05-05,56,0,70,42,5.66,0.0,2.94,68.0
2015-05-06,54,0,66,50,-3.57,0.0,-5.71,19.05
2015-05-07,57,0,64,34,5.56,0.0,-3.03,-32.0
2015-05-08,58,0,63,35,1.75,0.0,-1.56,2.94
2015-05-09,11,0,44,60,-81.03,0.0,-30.16,71.43
2015-05-10,7,0,34,10,-36.36,0.0,-22.73,-83.33
2015-05-11,59,0,65,41,742.75,0.0,91.17,309.97
2015-05-12,58,0,68,74,-1.69,0.0,4.62,80.49
2015-05-13,55,0,64,74,-5.17,0.0,-5.88,0.0
2015-05-14,51,100,65,34,-7.27,10000000.0,1.56,-54.05
2015-05-15,46,0,65,69,-9.8,-100.0,0.0,102.94
2015-05-16,9,0,44,29,-80.43,0.0,-32.31,-57.97
2015-05-17,4,0,37,19,-55.55,0.0,-15.91,-34.48
2015-05-18,57,0,67,41,1324.67,0.0,81.08,115.78
2015-05-19,53,0,68,74,-7.02,0.0,1.49,80.49
2015-05-20,60,0,66,57,13.21,0.0,-2.94,-22.97
2015-05-21,55,0,66,25,-8.33,0.0,0.0,-56.14
2015-05-22,58,0,63,43,5.45,0.0,-4.55,72.0
2015-05-23,7,0,47,20,-87.93,0.0,-25.4,-53.49
2015-05-24,6,0,40,31,-14.28,0.0,-14.89,55.0
2015-05-25,72,0,66,9,1099.82,0.0,65.0,-70.97
2015-05-26,60,0,66,67,-16.67,0.0,0.0,644.37
2015-05-27,54,0,65,17,-10.0,0.0,-1.52,-74.63
2015-05-28,51,0,64,51,-5.56,0.0,-1.54,199.99
2015-05-29,51,0,64,54,0.0,0.0,0.0,5.88
2015-05-30,7,0,46,10,-86.27,0.0,-28.12,-81.48
2015-05-31,7,0,40,40,0.0,0.0,-13.04,299.97
2015-06-01,56,0,64,25,699.9,0.0,60.0,-37.5
2015-06-02,50,0,65,34,-10.71,0.0,1.56,36.0
2015-06-03,55,0,66,17,10.0,0.0,1.54,-50.0
2015-06-04,54,0,62,35,-1.82,0.0,-6.06,105.88
2015-06-05,51,0,62,36,-5.56,0.0,0.0,2.86
2015-06-06,9,0,45,0,-82.35,0.0,-27.42,-100.0
2015-06-07,6,0,38,31,-33.33,0.0,-15.56,3100000.0
2015-06-08,57,0,64,17,849.86,0.0,68.42,-45.16
2015-06-09,52,0,66,50,-8.77,0.0,3.12,194.11
2015-06-10,60,0,64,0,15.38,0.0,-3.03,-100.0
2015-06-11,55,0,63,17,-8.33,0.0,-1.56,1700000.0
2015-06-12,51,0,64,36,-7.27,0.0,1.59,111.76
2015-06-13,11,0,45,21,-78.43,0.0,-29.69,-41.67
2015-06-14,7,0,38,10,-36.36,0.0,-15.56,-52.38
2015-06-15,56,0,65,33,699.9,0.0,71.05,229.98
2015-06-16,58,0,68,25,3.57,0.0,4.62,-24.24
2015-06-17,52,0,66,9,-10.34,0.0,-2.94,-64.0
